instnm,Professors (S2020_SIS  All full-time instructional staff),Associate professors (S2020_SIS  All full-time instructional staff),Assistant professors (S2020_SIS  All full-time instructional staff),Intructors (S2020_SIS  All full-time instructional staff),Lecturers (S2020_SIS  All full-time instructional staff),State abbreviation (HD2020),Level of institution (HD2020),Control of institution (HD2020),Historically Black College or University (HD2020),Tribal college (HD2020),Degree of urbanization (Urban-centric locale) (HD2020),Institution size category (HD2020),Percent admitted - total (DRVADM2020),Percent admitted - men (DRVADM2020),Percent admitted - women (DRVADM2020),Admissions yield - total (DRVADM2020),Admissions yield - men (DRVADM2020),Admissions yield - women (DRVADM2020),Percent of undergraduate enrollment 18-24 (DRVEF2020),Percent of undergraduate enrollment  25-64 (DRVEF2020),Percent of total enrollment that are American Indian or Alaska Native (DRVEF2020),Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander (DRVEF2020),Percent of total enrollment that are Asian (DRVEF2020),Percent of total enrollment that are Native Hawaiian or Other Pacific Islander (DRVEF2020),Percent of total enrollment that are Black or African American (DRVEF2020),Percent of total enrollment that are Hispanic/Latino (DRVEF2020),Percent of total enrollment that are White (DRVEF2020),Percent of total enrollment that are Race/ethnicity unknown (DRVEF2020),Percent of total enrollment that are Nonresident Alien (DRVEF2020),Percent of total enrollment that are two or more races (DRVEF2020),Percent of students enrolled exclusively in distance education courses (DRVEF2020),Percent of students enrolled in some but not all distance education courses (DRVEF2020),Percent of students not enrolled in any distance education courses (DRVEF2020),Percent of first-time undergraduates - in-state (DRVEF2020),Percent of first-time undergraduates - out-of-state (DRVEF2020),Percent of first-time undergraduates - foreign countries (DRVEF2020),Full-time retention rate  2020 (EF2020D),Part-time retention rate  2020 (EF2020D),Number of students receiving a Doctor's degree (DRVC2020),Number of students receiving a Master's degree (DRVC2020),Number of students receiving a Bachelor's degree (DRVC2020),Number of students receiving an Associate's degree (DRVC2020),Graduation rate  men (DRVGR2020),Graduation rate  women (DRVGR2020),Graduation rate - Bachelor degree within 4 years  total (DRVGR2020),Graduation rate - Bachelor degree within 5 years  total (DRVGR2020),Graduation rate - Bachelor degree within 6 years  total (DRVGR2020),Transfer-out rate  total cohort (DRVGR2020),Graduation rate  total cohort (DRVGR2020),Instructional FTE (DRVHR2020),Research FTE (DRVHR2020),Public Service FTE (DRVHR2020),Instructional  research and public service FTE (DRVHR2020),Librarians  Curators  and Archivists FTE (DRVHR2020),Student and Academic Affairs and Other Education Services FTE (DRVHR2020),Management FTE (DRVHR2020),Business and Financial Operations FTE (DRVHR2020),Computer  Engineering  and Science FTE (DRVHR2020),Community Service  Legal  Arts  and Media FTE (DRVHR2020),Healthcare FTE (DRVHR2020),Service  sales  office/admin support  natural resources  construction  maintenance  production  transportation & materials moving FTE (DRVHR2020),Service FTE (DRVHR2020),Sales and Related FTE (DRVHR2020),Office and Administrative Support FTE (DRVHR2020),Natural Resources  Construction  and Maintenance FTE (DRVHR2020),Production  Transportation  and Material Moving FTE (DRVHR2020),Physical books as a percent of the total library collection (DRVAL2020),Physical media as a percent of the total library collection (DRVAL2020),Digital/Electronic books as a percent of the total library collection (DRVAL2020),Digital/Electronic media as a percent of the total library collection (DRVAL2020),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2020),Percent of first-time degree/certificate-seeking students submitting ACT scores (ADM2020),SAT Evidence-Based Reading and Writing 25th percentile score (ADM2020),SAT Evidence-Based Reading and Writing 75th percentile score (ADM2020),SAT Math 25th percentile score (ADM2020),SAT Math 75th percentile score (ADM2020),ACT Composite 25th percentile score (ADM2020),ACT Composite 75th percentile score (ADM2020),ACT English 25th percentile score (ADM2020),ACT English 75th percentile score (ADM2020),ACT Math 25th percentile score (ADM2020),ACT Math 75th percentile score (ADM2020)
Vermont College of Fine Arts,,,,,,VT,1,2,2,2,32,1,,,,,,,,,2,4,4,1,8,6,65,8,6,1,100,0,0,,,,,,0,170,0,0,,,,,,,,44,0,0,44,4,0,24,4,2,3,0,43,8,2,16,17,0,24,0,76,0,,,,,,,,,,,,
Vermont Law School,24,5,22,0,0,VT,1,2,2,2,43,1,,,,,,,,,0,4,3,0,9,10,65,10,2,1,17,13,69,,,,,,142,98,0,0,,,,,,,,62,2,1,65,7,28,6,6,7,7,0,19,0,1,15,3,0,14,0,72,1,,,,,,,,,,,,
Vermont Technical College,30,14,32,0,0,VT,1,1,2,2,43,2,58,71,42,25,23,28,48,40,0,2,2,0,3,3,84,3,2,4,7,34,58,85,14,1,65,75,0,1,139,304,62,69,24,37,38,13,64,118,0,0,118,5,16,56,2,1,2,2,61,20,0,41,0,0,8,1,63,8,,,,,,,,,,,,
Villa Maria College,6,8,8,4,0,NY,1,2,2,2,13,1,79,81,77,42,53,34,78,19,1,2,2,0,33,9,47,0,0,9,2,46,52,96,4,1,58,67,0,0,59,13,22,33,23,29,31,,30,50,0,0,50,1,19,16,2,1,6,0,16,5,4,4,3,0,5,1,94,0,,,,,,,,,,,,
Villanova University,219,211,211,79,0,PA,1,2,2,2,21,4,31,31,31,25,25,25,96,3,0,6,6,0,5,8,72,3,3,3,26,69,5,17,80,2,96,22,202,1261,1791,0,92,93,89,91,92,6,92,853,12,0,865,35,5,462,108,169,159,27,779,411,14,273,57,24,32,0,55,5,60,40,650,710,670,750,30,33,31,35,27,32
Vincennes University,27,46,73,34,0,IN,1,1,2,2,33,4,,,,,,,31,9,0,2,2,0,8,24,58,3,1,3,6,10,84,90,9,0,52,67,0,0,189,1490,29,26,4,4,4,25,28,386,0,0,386,2,31,110,10,27,37,7,407,57,0,321,26,3,10,0,67,8,,,,,,,,,,,,
Virginia Beach Theological Seminary,,,,,,VA,1,2,2,2,11,1,,,,,,,,,0,0,0,0,11,6,83,0,0,0,26,6,69,,,,,,0,7,0,0,,,,,,,,6,0,0,6,0,0,0,0,0,0,0,2,0,0,2,0,0,95,0,0,4,,,,,,,,,,,,
Virginia Commonwealth University,461,667,901,152,0,VA,1,1,2,2,12,5,91,89,91,24,24,24,88,10,0,14,14,0,18,9,45,4,3,7,36,52,12,90,7,1,83,59,806,1366,4733,0,61,70,44,62,66,21,66,2420,282,43,2745,68,169,917,359,651,456,175,1004,189,2,643,155,15,42,3,41,8,85,17,540,640,520,610,21,28,21,30,19,26
Virginia Military Institute,61,26,48,4,3,VA,1,1,2,2,32,2,60,63,48,52,55,39,,,0,5,5,1,6,8,75,0,2,3,0,0,100,60,38,1,80,,0,0,372,0,87,79,76,83,85,12,85,157,0,0,157,10,8,67,30,36,54,14,226,61,8,75,42,40,22,0,50,13,88,32,540,640,530,620,22,28,21,28,21,27
Virginia Polytechnic Institute and State University,597,550,623,295,2,VA,1,1,2,2,13,5,66,61,72,33,33,33,98,2,0,10,10,0,5,7,60,3,10,5,30,62,8,73,25,1,93,75,725,1428,6443,55,83,90,65,83,86,,86,2186,651,167,3004,48,69,206,1635,708,210,119,2253,543,0,1251,392,67,33,1,49,3,83,24,590,680,580,690,25,31,24,32,24,30
Virginia State University,61,85,85,41,0,VA,1,1,1,2,21,2,96,95,97,9,11,9,92,8,0,0,0,0,94,0,3,1,1,0,0,0,100,63,37,0,62,100,11,104,643,0,42,49,28,42,46,20,46,322,12,31,365,10,53,85,60,33,29,5,147,0,0,134,10,3,19,1,64,7,73,9,420,510,400,490,15,20,14,19,15,18
Virginia University of Integrative Medicine,2,0,0,0,0,VA,1,2,2,2,21,1,,,,,,,,,0,67,67,0,2,2,11,5,12,1,0,0,100,,,,,,0,29,0,0,,,,,,,,12,0,0,12,0,6,1,2,0,0,1,5,0,1,4,0,0,90,4,1,1,,,,,,,,,,,,
Virginia Wesleyan University,43,25,17,4,0,VA,1,2,2,2,11,2,74,75,73,20,22,19,85,12,1,2,2,0,24,10,54,2,1,6,11,2,87,69,29,1,64,,0,49,229,0,39,56,46,50,50,40,50,104,0,0,104,5,34,22,4,9,32,0,35,16,0,19,0,0,18,1,51,7,81,16,490,610,470,580,20,29,18,28,18,26
Visible Music College,4,2,2,1,0,TN,1,2,2,2,11,1,72,73,71,66,68,65,,,0,2,2,0,15,15,56,8,1,3,10,70,20,23,71,6,90,63,0,0,6,0,8,17,11,11,11,17,11,21,0,0,21,0,2,4,4,0,0,0,10,0,7,2,1,0,73,19,0,0,88,12,300,500,200,500,12,17,10,15,10,15
Vista College-Online,0,0,0,0,0,TX,1,3,2,2,12,1,,,,,,,,,2,1,0,1,31,23,27,11,0,5,100,0,0,68,32,0,46,,0,0,44,119,50,52,95,95,95,,51,14,0,0,14,1,8,8,1,0,0,0,8,0,7,1,0,0,0,0,1,99,,,,,,,,,,,,
Viterbo University,22,30,45,3,0,WI,1,2,2,2,13,2,79,73,82,29,31,28,77,22,0,2,2,0,6,4,82,2,2,2,22,46,32,67,31,2,77,,19,240,435,1,58,66,52,62,65,,64,158,0,0,158,6,29,32,16,10,54,0,59,23,0,30,6,0,48,5,0,47,9,91,520,600,480,570,20,25,18,25,18,25
Voorhees College,2,6,18,5,0,SC,1,2,1,2,32,1,,,,,,,88,11,0,0,0,0,97,0,1,0,2,0,100,0,0,52,48,0,55,,0,0,86,0,27,53,32,41,41,,41,38,1,1,40,2,25,6,7,6,7,1,48,31,0,13,2,2,8,0,86,0,,,,,,,,,,,,
W L Bonner College,,,,,,SC,1,2,2,2,12,1,,,,,,,,,0,0,0,0,100,0,0,0,0,0,100,0,0,,,,,,0,0,0,2,,,,,,,,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,45,27,0,0,,,,,,,,,,,,
Wabash College,23,38,27,2,0,IN,1,2,2,2,32,1,63,63,0,25,25,,100,0,0,1,1,0,4,9,76,1,4,4,4,7,89,74,23,3,84,,0,0,177,0,75,,72,74,75,20,75,93,0,0,93,5,0,30,26,19,48,5,46,4,9,33,0,0,10,1,76,7,83,51,550,650,570,670,22,29,20,28,23,28
Wade College,5,0,0,0,0,TX,1,3,2,2,11,1,,,,,,,,,1,4,3,1,34,14,35,7,0,5,0,0,100,97,0,0,100,100,0,0,28,24,33,42,,,,27,41,11,0,0,11,1,2,6,0,0,0,0,2,0,1,1,0,0,13,1,86,0,,,,,,,,,,,,
Wagner College,36,36,30,0,0,NY,1,2,2,2,11,2,70,62,76,20,25,18,92,8,0,6,6,0,8,12,62,5,5,3,0,0,100,53,42,0,75,,8,182,384,0,66,78,67,73,73,,73,204,0,7,211,10,36,24,19,15,58,4,143,57,0,49,22,15,18,1,57,0,,,,,,,,,,,,
Wake Forest University,481,485,743,103,45,NC,1,2,2,2,12,3,32,33,31,38,37,38,100,0,0,5,5,0,8,8,66,1,9,3,16,71,14,17,74,9,95,100,299,953,1226,0,86,91,85,88,89,,89,2032,237,0,2269,66,101,453,859,420,195,1185,1300,317,10,890,55,28,30,8,51,2,,,,,,,,,,,,
Walden University,0,0,0,0,0,MN,1,3,2,2,11,5,,,,,,,,,0,4,3,0,39,7,37,10,2,2,100,0,0,1,97,2,33,29,1623,9316,1619,0,,,,,,,,1161,0,0,1161,14,288,463,223,80,59,0,173,0,149,24,0,0,0,0,56,19,,,,,,,,,,,,
Waldorf University,8,10,25,5,0,IA,1,3,2,2,33,2,61,60,64,25,23,29,34,64,0,1,1,1,6,2,30,56,3,0,77,0,23,20,75,4,26,25,0,186,695,178,50,54,46,51,51,24,52,83,0,0,83,3,30,30,10,3,48,4,61,23,2,30,5,1,7,0,30,0,25,52,460,560,460,550,17,21,15,22,16,19
Walla Walla Community College,0,0,0,0,0,WA,1,1,2,2,13,2,,,,,,,40,47,1,2,2,0,5,23,56,6,0,6,41,11,47,80,20,0,,,0,0,5,645,42,42,,,,11,42,143,0,0,143,4,24,38,14,11,19,0,83,18,3,54,8,0,7,1,79,13,,,,,,,,,,,,
Walla Walla University,32,25,24,7,0,WA,1,2,2,2,23,2,,,,,,,90,5,0,6,5,0,2,19,56,1,6,9,14,79,7,27,69,3,78,,0,99,349,33,58,59,31,50,58,,59,115,0,0,115,8,27,36,10,14,3,1,58,12,0,37,9,0,18,1,54,0,,,,,,,,,,,,
Walnut Hill College,0,0,0,15,0,PA,1,3,2,2,11,1,75,75,75,46,62,36,,,0,3,3,0,32,8,50,3,0,4,0,0,100,47,41,0,16,,0,0,20,64,78,72,,,,,75,17,0,0,17,1,2,10,1,1,0,0,18,7,6,4,1,0,28,1,71,0,,,,,,,,,,,,
Walsh College,14,5,0,0,0,MI,1,2,2,2,13,2,,,,,,,39,61,0,5,5,0,9,4,75,2,4,2,100,0,0,,,,,,0,379,283,0,,,,,,,,62,0,0,62,2,17,20,6,0,13,0,25,5,0,20,0,0,5,0,66,0,,,,,,,,,,,,
Walsh University,31,35,37,4,0,OH,1,2,2,2,21,2,77,74,79,24,25,22,84,12,0,1,1,0,5,3,49,35,5,2,26,59,16,84,7,8,71,,31,184,386,0,56,63,46,60,60,,60,152,0,0,152,9,26,20,12,12,56,0,85,31,0,44,8,2,13,1,60,7,15,84,478,590,500,580,19,26,17,25,18,26
Warner Pacific University,4,11,7,2,0,OR,1,2,2,2,11,1,100,100,100,16,23,14,,,1,7,6,1,12,28,41,3,0,8,0,0,100,83,12,0,68,,0,0,63,0,36,39,28,35,38,16,38,24,0,0,24,2,9,11,3,1,6,1,15,9,0,6,0,0,4,0,85,4,,,,,,,,,,,,
Warner Pacific University Professional and Graduate Studies,,,,,,OR,1,2,2,2,11,1,,,,,,,,,3,8,7,1,16,17,50,4,0,2,81,0,19,83,11,0,,,0,30,124,9,33,18,12,12,12,,25,0,0,0,0,0,0,2,0,0,0,0,7,0,0,7,0,0,4,0,85,4,,,,,,,,,,,,
Warner University,6,13,12,3,0,FL,1,2,2,2,41,1,54,55,53,35,37,34,81,18,0,1,1,0,34,14,46,1,3,1,35,21,44,92,5,0,52,40,0,74,172,61,44,61,35,43,43,,49,58,0,0,58,2,6,13,3,3,39,5,40,18,1,17,4,0,9,1,74,9,,,,,,,,,,,,
Warren Wilson College,0,0,0,0,0,NC,1,2,2,2,21,1,85,79,88,18,16,19,93,5,1,2,2,0,6,6,77,2,3,4,13,58,30,39,61,0,57,,0,25,114,0,44,40,34,40,42,,42,67,0,0,67,4,2,51,5,7,23,2,29,9,0,12,6,2,19,1,51,11,4,47,620,660,,,21,29,23,31,18,26
Wartburg College,27,31,16,0,6,IA,1,2,2,2,32,2,72,68,75,14,16,12,97,1,0,1,1,0,4,5,79,1,7,3,4,63,34,66,29,5,82,0,0,0,317,0,61,76,64,68,68,,68,103,0,0,103,4,0,31,14,12,69,4,99,39,0,31,29,0,29,2,37,18,16,84,480,600,490,600,19,25,18,24,18,26
Wartburg Theological Seminary,6,3,3,0,0,IA,1,2,2,2,13,1,,,,,,,,,0,1,1,0,2,4,89,1,0,1,0,90,10,,,,,,0,34,0,0,,,,,,,,17,0,0,17,1,2,4,5,1,1,0,13,3,2,6,2,0,10,0,74,12,,,,,,,,,,,,
Washburn University,70,45,66,0,85,KS,1,1,2,2,12,3,,,,,,,67,18,1,1,1,0,6,10,55,21,3,4,13,35,53,88,2,1,70,36,118,154,846,258,46,55,22,36,42,19,51,331,0,0,331,25,32,101,34,48,46,5,186,55,7,108,15,1,50,3,22,17,,,,,,,,,,,,
Washington & Jefferson College,42,34,29,7,0,PA,1,2,2,2,21,2,90,86,95,15,17,13,,,0,2,2,0,8,6,75,5,1,4,0,0,100,69,30,0,85,,0,0,339,0,58,73,63,63,65,10,65,125,0,0,125,8,13,19,15,13,46,7,102,78,0,24,0,0,30,2,10,25,,,,,,,,,,,,
Washington Adventist University,11,12,9,0,0,MD,1,2,2,2,21,1,94,92,95,5,5,4,53,34,0,4,4,0,44,18,5,17,11,2,50,36,15,57,28,12,67,,0,72,167,10,30,49,20,33,41,,42,78,0,0,78,2,7,23,9,6,8,0,28,7,0,9,9,3,12,0,58,24,,,,,,,,,,,,
Washington and Lee University,115,59,66,9,2,VA,1,2,2,2,32,2,25,24,25,37,40,36,99,0,0,4,4,0,4,6,76,1,4,4,0,0,100,13,82,5,97,,154,0,446,0,92,95,91,93,93,,93,281,0,0,281,22,2,61,62,58,125,9,335,180,8,101,46,0,30,6,54,1,52,48,670,740,680,760,32,34,33,35,29,32
Washington College,13,46,35,10,0,MD,1,2,2,2,32,2,80,76,83,11,12,11,98,1,0,4,3,0,11,7,67,7,3,0,100,0,0,43,52,3,79,,0,0,319,0,68,74,69,71,72,8,72,114,0,0,114,7,33,35,23,27,36,6,94,45,0,35,12,2,26,3,70,0,,,,,,,,,,,,
Washington State University,337,299,202,27,42,WA,1,1,2,2,32,5,80,78,82,25,26,24,83,15,0,7,7,0,3,15,59,3,6,6,14,14,72,81,17,1,81,49,640,937,5991,0,53,63,37,54,59,,59,1499,299,85,1883,76,249,371,729,786,581,184,1282,467,4,525,222,64,51,13,27,1,83,23,510,610,510,600,20,26,18,25,18,26
Washington University in St Louis,704,315,354,129,212,MO,1,2,2,2,21,4,16,16,16,40,40,40,93,6,0,13,13,0,8,8,44,3,21,4,16,69,15,11,82,7,94,50,792,2399,1892,18,93,96,88,93,94,,94,1871,1022,1430,4323,75,128,1132,1195,2300,430,2019,4219,1460,10,2439,245,65,38,14,41,1,37,67,720,760,760,800,33,35,34,35,30,35
Watkins College of Art Design & Film,,,,,,TN,1,2,2,2,11,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayland Baptist University,64,29,27,5,2,TX,1,2,2,2,33,2,81,82,81,41,46,33,33,61,1,6,3,3,18,34,34,3,1,4,39,31,30,91,8,1,38,38,7,401,851,164,18,34,8,15,18,,25,207,0,0,207,5,2,78,2,3,27,1,158,9,5,142,2,0,46,2,19,0,32,39,450,550,450,540,16,23,14,21,16,23
Wayne State College,51,31,28,12,2,NE,1,1,2,2,32,2,,,,,,,83,8,1,1,1,0,3,9,80,1,1,3,19,22,59,85,15,0,74,43,0,204,529,0,49,56,32,50,53,34,53,155,0,0,155,8,40,33,18,15,30,4,99,39,0,40,13,7,37,5,48,0,,,,,,,,,,,,
Wayne State University,461,463,390,29,184,MI,1,1,2,2,11,5,69,70,69,26,26,27,79,17,0,10,10,0,15,6,55,3,4,7,72,20,8,97,2,1,82,47,797,2122,3563,0,50,54,24,44,52,30,52,1791,740,0,2531,49,247,528,650,242,94,134,832,281,2,434,41,74,43,6,44,2,91,19,500,600,500,600,20,27,19,27,18,27
Waynesburg University,21,16,23,21,0,PA,1,2,2,2,32,2,90,89,91,23,24,23,95,4,0,1,1,0,4,3,84,5,0,3,22,2,75,74,26,0,79,,8,124,311,0,58,70,57,64,65,27,65,127,0,0,127,1,19,29,4,13,28,4,74,30,2,30,12,0,23,2,69,1,76,23,490,590,490,580,19,24,17,24,17,25
Weatherford College,0,0,0,133,0,TX,1,1,2,2,31,3,,,,,,,,,1,1,1,0,2,20,71,1,0,3,16,22,63,98,2,0,,,0,0,0,807,18,21,,,,,20,202,0,0,202,1,10,56,17,16,11,0,71,23,0,47,1,0,43,4,0,52,,,,,,,,,,,,
Webb Institute,5,1,3,0,0,NY,1,2,2,2,21,1,21,22,18,82,84,75,,,0,5,5,0,0,5,80,2,0,8,0,0,100,30,67,4,92,,0,0,25,0,82,100,75,83,83,17,83,11,0,0,11,1,1,10,3,1,1,0,6,4,0,1,1,0,31,1,10,0,78,22,670,740,750,790,33,36,31,36,34,36
Webber International University,4,4,17,0,0,FL,1,2,2,2,31,1,38,37,39,23,24,20,,,0,2,1,1,28,7,42,6,10,4,6,27,67,79,18,2,49,,0,43,100,12,37,48,31,36,36,37,40,33,0,0,33,2,0,15,8,1,41,8,29,5,11,13,0,0,82,8,0,0,64,23,440,530,413,530,14,20,13,20,15,20
Weber State University,111,83,244,140,3,UT,1,1,2,2,13,5,,,,,,,41,20,0,2,2,1,1,11,74,6,1,3,32,27,40,91,8,1,66,40,0,331,2588,2614,29,41,16,28,36,22,36,733,0,0,733,12,107,208,69,110,42,11,489,134,5,320,26,4,17,2,23,49,,,,,,,,,,,,
Webster University,72,71,41,9,1,MO,1,2,2,2,21,3,53,56,51,27,29,25,76,24,0,4,4,0,27,8,50,5,2,3,34,25,41,62,38,0,77,60,26,3002,643,0,50,59,41,53,55,,55,430,0,0,430,17,74,119,77,35,90,1,159,13,0,129,17,0,35,6,9,31,21,77,548,650,530,610,20,27,20,29,17,26
Weill Medical College of Cornell University,273,296,1165,214,2,NY,1,2,2,2,11,2,,,,,,,,,0,24,23,0,6,10,34,7,16,3,27,23,50,,,,,,179,170,0,0,,,,,,,,2006,0,0,2006,20,248,587,488,901,70,705,2454,452,0,1946,52,4,17,0,66,2,,,,,,,,,,,,
Welch College,7,2,2,7,0,TN,1,2,2,2,41,1,,,,,,,,,0,1,1,0,7,4,82,0,2,3,9,6,85,52,38,0,70,63,0,7,38,3,68,74,44,62,62,4,72,28,0,0,28,1,8,8,4,1,2,0,11,2,0,8,1,0,57,0,43,0,,,,,,,,,,,,
Wellesley College,99,72,40,0,71,MA,1,2,2,2,21,2,20,,20,43,,43,,,0,23,23,0,7,14,35,1,13,6,52,34,14,11,73,16,93,,0,0,566,0,,94,86,93,94,4,94,357,0,0,357,34,14,82,72,90,62,6,357,221,0,87,43,6,27,1,56,9,68,41,680,750,670,770,31,34,33,35,28,33
Wells College,13,4,12,1,1,NY,1,2,2,2,42,1,64,77,90,10,11,9,,,2,3,3,0,12,18,54,7,0,4,0,0,100,77,21,2,52,,0,0,79,0,52,58,54,56,56,,56,37,0,0,37,3,9,23,5,9,22,0,46,25,0,9,7,5,17,0,33,44,0,0,,,,,,,,,,
Wenatchee Valley College,0,0,0,0,0,WA,1,1,2,2,13,2,,,,,,,47,26,2,1,1,0,0,39,47,5,0,5,14,34,52,97,3,0,,,0,0,16,728,32,37,,,,10,34,121,0,0,121,5,5,23,8,12,24,0,51,13,0,32,6,0,55,4,0,0,,,,,,,,,,,,
Wentworth Institute of Technology,29,61,78,1,0,MA,1,2,2,2,11,2,94,94,93,18,19,16,90,8,0,9,9,0,7,10,60,6,6,3,76,24,0,67,30,0,80,,0,97,899,12,69,71,54,66,69,21,69,243,0,0,243,10,50,62,45,71,58,3,75,22,0,31,22,0,6,0,53,17,64,10,540,630,550,650,23,28,21,28,23,28
Wesley College,22,20,17,8,0,DE,1,2,2,2,13,1,59,57,60,16,19,14,,,0,1,1,0,38,8,40,6,0,7,2,66,33,50,50,0,49,,0,45,174,1,24,40,23,30,32,,32,116,0,10,126,6,5,7,12,0,16,4,40,12,9,19,0,0,23,0,77,0,80,4,410,530,410,520,14,18,12,15,14,15
Wesley Theological Seminary,12,6,2,0,0,DC,1,2,2,2,11,1,,,,,,,,,0,8,8,1,39,4,39,0,7,2,10,10,80,,,,,,62,69,0,0,,,,,,,,20,3,0,23,2,2,18,6,2,3,0,15,1,0,12,2,0,46,1,54,0,,,,,,,,,,,,
Wesleyan College,20,14,15,2,0,GA,1,2,2,2,12,1,60,,60,20,,20,,,0,2,2,0,40,7,41,2,5,3,18,27,55,91,4,1,74,50,0,30,147,0,,51,45,51,51,,51,60,0,0,60,3,11,13,12,4,22,2,29,9,1,14,4,1,12,0,73,6,58,21,488,573,458,540,18,26,17,25,16,24
Wesleyan University,106,87,73,0,0,CT,1,2,2,2,13,2,21,23,20,27,27,28,96,1,0,8,8,0,6,11,55,2,12,7,12,85,4,8,82,9,87,,10,56,774,0,91,91,87,91,91,6,91,400,0,0,400,34,40,67,82,72,57,13,202,45,2,109,36,10,32,1,61,0,,,,,,,,,,,,
West Chester University of Pennsylvania,211,221,144,99,0,PA,1,1,2,2,21,4,86,83,88,23,25,22,89,9,0,3,3,0,12,6,74,2,0,3,89,10,1,87,13,0,85,45,32,1041,3104,0,71,78,55,73,75,17,75,775,0,0,775,26,0,77,296,35,63,11,362,136,0,169,57,0,18,2,65,5,90,9,510,600,500,580,20,26,19,26,18,25
West Coast Ultrasound Institute,0,0,0,0,0,CA,1,3,2,2,11,1,,,,,,,,,0,5,5,0,3,42,50,0,0,0,0,0,100,69,31,0,76,,0,0,21,361,76,77,,,,3,76,76,0,0,76,3,34,7,4,0,0,0,36,0,0,36,0,0,7,0,33,34,,,,,,,,,,,,
West Coast University-Center for Graduate Studies,2,8,24,0,0,CA,1,3,2,2,11,1,,,,,,,,,0,38,38,0,5,15,38,2,0,3,0,0,100,,,,,,118,35,0,0,,,,,,,,47,0,0,47,1,3,16,1,1,3,0,15,0,0,14,1,0,0,0,75,15,,,,,,,,,,,,
West Coast University-Dallas,0,1,1,21,0,TX,1,3,2,2,11,2,,,,,,,35,65,0,12,12,0,37,23,23,1,0,4,31,52,16,75,25,0,0,0,0,14,182,0,,100,100,100,100,,100,48,0,0,48,1,6,19,9,0,9,0,21,0,0,21,0,0,0,0,75,15,,,,,,,,,,,,
West Coast University-Los Angeles,0,10,12,23,0,CA,1,3,2,2,11,2,,,,,,,50,50,0,29,26,3,3,28,33,0,0,6,0,71,29,100,0,0,75,,0,0,651,0,17,57,31,38,38,,38,107,0,0,107,1,14,18,8,1,11,0,27,0,0,27,0,0,0,0,75,15,,,,,,,,,,,,
West Coast University-Miami,0,2,3,28,0,FL,1,3,2,2,13,2,,,,,,,51,49,0,2,2,0,15,70,9,0,0,3,0,67,33,100,0,0,90,,0,0,189,0,,0,0,0,0,,0,65,0,0,65,1,6,16,9,0,7,0,21,0,0,21,0,0,0,0,75,15,,,,,,,,,,,,
West Coast University-Ontario,1,3,6,30,0,CA,1,3,2,2,12,2,,,,,,,46,53,1,28,25,3,5,37,22,1,0,7,0,73,27,100,0,0,89,,0,0,534,0,100,67,73,73,73,,73,118,0,0,118,1,11,20,7,1,12,0,27,0,0,26,1,0,0,0,75,15,,,,,,,,,,,,
West Coast University-Orange County,2,5,16,31,0,CA,1,3,2,2,11,2,,,,,,,47,53,1,41,38,3,5,23,24,1,0,6,39,40,21,75,0,0,58,50,0,350,804,0,60,50,57,57,57,,57,134,0,0,134,3,25,21,9,2,13,0,35,0,0,33,2,0,0,0,75,15,,,,,,,,,,,,
West Liberty University,37,36,43,30,2,WV,1,1,2,2,41,2,68,66,70,33,37,31,,,0,1,1,0,4,1,79,12,2,1,6,31,63,56,40,3,73,0,0,126,400,37,49,56,37,51,53,18,53,185,0,0,185,3,10,36,6,6,36,6,55,13,0,31,11,0,79,3,0,0,27,73,460,580,440,540,17,23,16,22,16,23
West Los Angeles College,0,0,0,126,0,CA,1,1,2,2,21,4,,,,,,,42,47,0,6,6,0,20,48,15,5,1,4,39,22,38,90,0,7,,50,0,0,19,752,19,27,,,,10,22,231,0,0,231,3,13,16,14,7,20,0,124,47,0,77,0,0,11,0,72,0,,,,,,,,,,,,
West Texas A & M University,71,73,106,91,6,TX,1,1,2,2,31,4,58,59,58,43,44,43,77,22,0,3,3,0,5,29,56,1,2,3,41,37,22,87,10,0,82,44,2,827,1764,0,37,52,27,39,44,28,44,376,0,0,376,31,10,131,40,33,103,9,125,24,3,93,5,0,17,4,58,6,52,58,460,560,460,570,18,23,15,22,17,23
West Virginia School of Osteopathic Medicine,15,26,19,1,0,WV,1,1,2,2,32,1,,,,,,,,,1,19,18,1,3,3,70,4,0,0,0,0,100,,,,,,194,0,0,0,,,,,,,,63,5,0,68,5,7,49,15,36,27,5,82,28,0,45,9,0,33,4,11,0,,,,,,,,,,,,
West Virginia State University,31,24,29,16,0,WV,1,1,1,2,22,2,89,86,90,10,13,8,45,10,1,1,1,0,9,2,72,5,6,4,21,26,53,80,20,0,60,25,0,61,349,0,31,30,18,27,30,17,30,119,0,0,119,5,1,50,9,8,32,3,75,8,0,54,12,1,66,1,15,0,47,48,450,560,420,530,17,22,16,22,16,22
