institution,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag
Los Angeles Academy of Figurative Art,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,5,0,1,0,0,0
Los Angeles City College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,60,33,29,1,0,0,0,0
Los Angeles College of Music,1,1,-2,A,1,1,1,106,82,188,144,100,244,29,30,59,60,45,5,1,1,0,0,0
Los Angeles Community College District Office,1,1,-2,A,1,1,2,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,1,1,0,0,0
Los Angeles County College of Nursing and Allied Health,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,3,1,0,0,0,0
Los Angeles Harbor College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,68,29,28,1,0,0,0,0
Los Angeles Mission College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,65,34,29,1,0,0,0,0
Los Angeles Pacific College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,15,1,0,0,0,0
Los Angeles Pacific University,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,40,23,1,1,1,0,0
Los Angeles Pierce College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,73,45,27,1,0,0,0,0
Los Angeles Southwest College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,23,21,1,0,0,0,0
Los Angeles Trade Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,56,26,21,1,0,0,0,0
Los Angeles Valley College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,39,27,1,0,0,0,0
Los Medanos College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,24,1,0,0,0,0
Los Rios Community College District Office,1,1,-2,A,1,1,2,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,1,0,0,0,0
Lotus School of Integrated Professions,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,6,0,0,1,0,0
Louisburg College,1,1,-2,A,1,1,1,524,261,785,646,306,952,185,66,251,56,45,11,1,0,0,0,0
Louisiana Academy of Beauty,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,45,9,0,-2,-2,-2,-2
Louisiana College,1,1,-2,A,1,1,1,330,245,575,495,313,808,129,109,238,61,45,11,1,1,1,0,0
Louisiana Culinary Institute,1,1,-2,A,1,1,1,6,6,12,30,23,53,6,6,12,93,45,16,1,0,0,0,0
Manhattan Institute,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Louisiana Delta Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,50,26,24,1,0,0,0,0
Louisiana State University and Agricultural & Mechanical College,1,1,-2,A,1,1,1,8887,12365,21252,12054,16906,28960,2953,3748,6701,86,17,22,0,1,1,1,1
Louisiana State University Health Sciences Center-New Orleans,1,1,1,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,3,1,1,1,1,1
Louisiana State University Health Sciences Center-Shreveport,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,3,0,1,1,1,1
Louisiana State University-Alexandria,1,1,-2,A,1,1,1,435,1437,1872,870,2076,2946,166,314,480,60,49,16,1,1,0,0,0
Louisiana State University-Eunice,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,40,23,1,0,0,0,0
Louisiana State University-Shreveport,1,1,-2,A,1,1,1,285,474,759,325,593,918,140,199,339,62,29,28,0,1,1,1,0
Louisiana Tech University,1,1,-2,A,1,1,1,2329,2176,4505,3460,3627,7087,1064,800,1864,81,17,23,1,1,1,1,1
Louisville Presbyterian Theological Seminary,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,1
Lourdes University,1,1,-2,A,1,1,1,328,444,772,411,579,992,81,101,182,67,0,13,1,1,1,0,1
Love Beauty School Inc,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,85,96,15,0,-2,-2,-2,-2
Lowell Academy Hairstyling Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,58,58,12,0,-2,-2,-2,-2
Lower Columbia College,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,14,1,1,0,0,0
Loyola Marymount University,1,1,-2,A,1,1,1,3839,5475,9314,7546,11030,18576,709,759,1468,83,100,10,0,1,1,1,1
Loyola University Chicago,1,1,-2,A,1,1,1,5552,12402,17954,8249,17204,25453,686,1443,2129,85,45,14,1,1,1,1,1
Loyola University Maryland,1,1,-2,A,1,1,1,3396,5020,8416,4313,6176,10489,416,592,1008,87,45,12,0,1,1,1,1
Loyola University New Orleans,1,1,-2,A,1,1,1,1424,3107,4531,2016,4243,6259,261,506,767,83,38,13,1,1,1,0,1
Lu Ross Academy,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,83,20,0,-2,-2,-2,-2
Lubbock Christian University,1,1,-2,A,1,1,1,112,248,360,115,258,373,91,189,280,68,0,14,1,1,1,0,0
Luckes Beauty Academy LLC,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,11,0,-2,-2,-2,-2
Luna Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,43,31,17,1,0,0,0,0
Lurleen B Wallace Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,66,54,16,1,0,0,0,0
Luther College,1,1,-2,A,1,1,1,1010,1330,2340,1710,1930,3640,198,255,453,77,45,11,0,1,0,0,0
Luther Rice College & Seminary,1,1,-2,A,1,1,1,5,3,8,14,4,18,4,2,6,82,40,11,0,1,1,1,0
Luther Seminary,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,1
Lutheran School of Nursing,1,1,-2,A,1,1,5,589,-347,3247,0,0,0,814,17,1515,0,0,8,0,0,0,0,0
Lutheran School of Theology at Chicago,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,0
Luzerne County Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,40,15,1,0,0,0,0
Lycoming College,1,1,-2,A,1,1,1,838,1072,1910,1301,1616,2917,153,181,334,73,45,11,0,1,0,0,0
Lyle's College of  Beauty,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,0,100,14,0,-2,-2,-2,-2
Lyle's College of Beauty,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,86,14,0,-2,-2,-2,-2
Lynn University,1,1,-2,A,1,1,1,2429,3907,6336,3184,4869,8053,338,363,701,73,43,17,1,1,1,1,0
Lynnes Welding Training,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,14,0,-2,-2,-2,-2
Lynnes Welding Training-Bismarck,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,12,0,-2,-2,-2,-2
Lyon College,1,1,-2,A,1,1,1,546,488,1034,1168,894,2062,102,81,183,69,45,11,0,1,0,0,0
Lytles Redwood Empire Beauty College Inc,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,45,14,0,-2,-2,-2,-2
M J Murphy Beauty College of Mount Pleasant,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,67,82,20,0,-2,-2,-2,-2
M T Training Center,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,45,15,0,-2,-2,-2,-2
M-DCPS The English Center,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,78,20,0,-2,-2,-2,-2
Macalester College,1,1,-2,A,1,1,1,1015,1451,2466,2623,3750,6373,231,316,547,90,45,10,0,1,0,0,0
MacCormac College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,30,13,11,1,0,0,0,0
Machzikei Hadath Rabbinical College,1,1,-2,A,1,1,1,36,-347,36,38,0,38,36,17,36,97,45,20,0,1,0,0,0
Macomb Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,66,47,24,1,0,0,0,0
Madison Adult Career Center,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,72,100,10,0,0,0,0,0
Madison Area Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,1,0,0,0,0
Madison Oneida BOCES-Practical Nursing Program,1,1,-2,A,1,1,1,2,5,7,2,6,8,2,4,6,78,67,17,0,-2,-2,-2,-2
Madisonville Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,73,54,14,1,0,0,0,0
Madonna University,1,1,-2,A,1,1,1,345,429,774,475,657,1132,149,132,281,76,100,13,1,1,1,1,1
Magdalen College,1,1,4,A,1,1,1,25,39,64,34,47,81,5,15,20,55,45,10,1,1,0,0,0
Magnolia College of Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,6,0,-2,-2,-2,-2
Maharishi International University,1,1,-2,A,1,1,1,14,36,50,14,36,50,11,28,39,47,40,12,0,1,1,1,0
Mahoning County Career and Technical Center,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,96,10,0,-2,-2,-2,-2
Maine College of Art,1,1,-2,A,1,1,1,120,440,560,175,622,797,34,95,129,64,0,8,0,1,1,0,0
Maine College of Health Professions,1,1,2,A,1,1,1,2,7,9,2,18,20,1,7,8,82,45,8,1,1,0,0,0
Maine Maritime Academy,1,1,-2,A,1,1,1,448,150,598,874,273,1147,173,44,217,77,45,9,1,1,1,0,0
Maine Media College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,2,0,0,1,0,0
MAK Beauty Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,86,89,6,0,-2,-2,-2,-2
MAK Beauty Institute - Duluth,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Makana Esthetics Wellness Academy,1,1,-2,N,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,9,0,-2,-2,-2,-2
Make-up Designory,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,3,0,-2,-2,-2,-2
Malone University,1,1,-2,A,1,1,1,355,615,970,489,817,1306,85,108,193,78,20,13,1,1,1,0,0
Manatee Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,53,50,12,0,0,0,0,0
Manchester Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,36,14,1,0,0,0,0
Manchester Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,36,14,1,0,0,0,0
Manchester Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,36,14,1,0,0,0,0
Manchester Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,36,14,1,0,0,0,0
Manchester Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,62,56,12,1,0,0,0,0
Manchester Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,62,56,12,1,0,0,0,0
Manchester Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,62,56,12,1,0,0,0,0
Manchester Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,62,56,12,1,0,0,0,0
Manchester University,1,1,-2,A,1,1,1,1414,1402,2816,2094,1907,4001,189,161,350,71,45,15,1,1,1,0,1
Mandalyn Academy,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,50,9,0,-2,-2,-2,-2
Mandl School-The College of Allied Health,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,46,45,18,1,0,0,0,0
Manhattan Area Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,77,60,15,1,0,0,0,0
Manhattan Christian College,1,1,-2,A,1,1,1,38,32,70,78,65,143,23,29,52,51,0,11,1,1,0,0,0
Manhattan School of Computer Technology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,73,45,18,0,0,0,0,0
Manhattan School of Music,1,1,-2,A,1,1,1,248,278,527,594,661,1268,53,69,123,97,45,5,0,1,1,0,0
Manhattanville College,1,1,-2,A,1,1,1,1044,1830,2874,1195,2005,3200,107,158,265,80,100,10,0,1,1,1,0
Manor College,1,1,-2,A,1,1,1,244,540,784,270,592,862,39,103,142,50,40,14,1,1,0,0,0
Mansfield University of Pennsylvania,1,1,-2,A,1,1,1,651,1400,2051,693,1443,2136,157,267,424,78,100,17,1,1,1,0,0
Manuel and Theresa's School of Hair Design,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,45,25,0,-2,-2,-2,-2
Manuel and Theresa's School of Hair Design-Bryan,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,81,45,25,0,-2,-2,-2,-2
Manuel and Theresa's School of Hair Design-Victoria,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,80,45,25,0,-2,-2,-2,-2
Maple Springs Baptist Bible College and Seminary,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,91,45,12,1,1,1,0,0
Maranatha Baptist University,1,1,-2,A,1,1,1,92,135,227,117,165,282,54,88,142,83,47,12,1,1,1,0,0
Margaret H Rollins School of Nursing at Beebe Medical Center,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,6,0,0,0,0,0
Maria College of Albany,1,1,2,A,1,1,1,10,110,120,36,277,338,3,45,48,100,0,8,1,1,1,0,0
Marian Health Careers Center-Los Angeles Campus,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,45,17,0,-2,-2,-2,-2
Marian Health Careers Center-Van Nuys Campus,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,88,45,12,0,-2,-2,-2,-2
Marian University,1,1,-2,A,1,1,1,375,705,1080,534,1062,1596,88,166,254,71,45,12,1,1,1,1,1
Marian University,1,1,-2,A,1,1,1,375,705,1080,534,1062,1596,88,166,254,71,45,12,0,1,1,0,0
Marian University,1,1,-2,A,1,1,1,375,705,1080,534,1062,1596,88,166,254,71,45,12,1,1,1,1,1
Marian University,1,1,-2,A,1,1,1,375,705,1080,534,1062,1596,88,166,254,71,45,12,0,1,1,0,0
Marian University,1,1,-2,A,1,1,1,646,1163,1809,1086,1730,2816,182,243,425,84,100,13,1,1,1,1,1
Marian University,1,1,-2,A,1,1,1,646,1163,1809,1086,1730,2816,182,243,425,84,100,13,0,1,1,0,0
Marian University,1,1,-2,A,1,1,1,646,1163,1809,1086,1730,2816,182,243,425,84,100,13,1,1,1,1,1
Marian University,1,1,-2,A,1,1,1,646,1163,1809,1086,1730,2816,182,243,425,84,100,13,0,1,1,0,0
Mariano Moreno Culinary Institute,1,1,-2,N,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,6,1,0,0,0,0
Maricopa Community College System Office,1,1,-2,A,1,1,2,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,1,0,0,0,0
Marietta College,1,1,-2,A,1,1,1,913,889,1802,1240,1198,2438,171,167,338,77,45,8,1,1,1,0,0
Marion Military Institute,1,1,-2,A,1,1,1,394,181,575,606,394,1000,189,66,255,34,45,14,1,0,0,0,0
Marlboro College,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Marion S Whelan School of Nursing of Geneva General Hospital,1,1,-2,A,1,1,1,589,1,1,0,1,1,814,0,0,0,45,11,0,-2,-2,-2,-2
Marion Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,24,10,0,0,0,0,0
Marion Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,24,10,1,0,0,0,0
Marion Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,24,10,0,0,0,0,0
Marion Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,52,24,10,1,0,0,0,0
Marion Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,84,86,6,0,0,0,0,0
Marion Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,84,86,6,1,0,0,0,0
Marion Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,84,86,6,0,0,0,0,0
Marion Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,84,86,6,1,0,0,0,0
Marist College,1,1,-2,A,1,1,1,2698,3751,6449,4570,7145,11715,463,638,1101,88,45,16,0,1,1,0,1
Marketti Academy of Cosmetology,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,22,0,-2,-2,-2,-2
Marlboro College Graduate & Professional Studies,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
Marquette University,1,1,-2,A,1,1,1,5469,7172,12641,6726,8598,15324,706,945,1651,88,67,13,0,1,1,1,1
Mars Hill University,1,1,-2,A,1,1,1,569,587,1156,820,898,1718,159,129,288,67,75,10,0,1,1,0,0
Marshall B Ketchum University,1,1,3,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,1
Marshall University,1,1,-2,A,1,1,1,2431,3565,5996,2726,3992,6718,710,1018,1728,77,50,18,1,1,1,1,1
Marshalltown Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,59,34,17,1,0,0,0,0
Martin Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,45,28,11,1,0,0,0,0
Martin Luther College,1,1,-2,A,1,1,1,108,119,227,126,134,260,91,94,185,88,45,11,0,1,1,0,0
Martin Methodist College,1,1,-2,A,1,1,1,270,383,653,275,389,664,82,104,186,57,45,13,1,1,1,0,0
Martin University,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,20,36,19,0,1,1,0,0
Martinsburg College,1,1,-2,A,1,1,1,57,579,636,57,579,636,29,254,283,66,71,58,1,0,0,0,0
Mary Baldwin University,1,1,-2,A,1,1,1,1169,5092,6261,1446,5742,7188,90,268,358,63,45,11,0,1,1,0,1
Maryland Beauty Academy of Essex,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,91,75,25,0,-2,-2,-2,-2
Maryland Institute College of Art,1,1,-2,A,1,1,1,678,2008,2686,755,2235,2990,73,216,289,66,100,8,0,1,1,0,0
Maryland University of Integrative Health,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,1
Marymount California University,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,65,45,18,1,1,1,0,0
Marymount Manhattan College,1,1,-2,A,1,1,1,1000,3647,4647,1204,4066,5270,75,338,413,67,65,9,1,1,0,0,0
Marymount University,1,1,-2,A,1,1,1,893,1704,2597,1065,1980,3046,149,218,367,71,0,14,0,1,1,1,1
Maryville College,1,1,-2,A,1,1,1,608,833,1441,999,1321,2320,132,139,271,71,45,12,0,1,0,0,0
Maryville University of Saint Louis,1,1,-2,A,1,1,1,852,1523,2375,913,1590,2503,254,466,720,83,45,13,0,1,1,1,0
Marywood University,1,1,-2,A,1,1,1,545,1285,1830,667,1564,2231,142,268,410,83,0,11,0,1,1,1,1
Mason Anthony School of Cosmetology Arts & Sciences,1,1,-2,N,1,1,8,589,-347,3247,2466,-1958,4481,814,17,1515,83,0,25,0,0,0,0,0
Massachusetts Bay Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,49,42,13,1,0,0,0,0
Massachusetts College of Art and Design,1,1,-2,A,1,1,1,419,1462,1881,712,1965,2677,78,253,331,73,60,9,0,1,1,0,0
Massachusetts College of Liberal Arts,1,1,-2,A,1,1,1,398,790,1188,480,875,1355,67,104,171,72,45,10,0,1,1,0,0
Massachusetts Institute of Technology,1,1,-2,A,1,1,1,702,755,1457,13528,6547,20075,542,528,1070,98,45,3,0,1,1,1,0
Massachusetts Maritime Academy,1,1,-2,A,1,1,1,612,114,726,666,119,785,275,52,327,87,45,14,0,1,1,0,0
Massachusetts School of Barbering,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,100,18,0,-2,-2,-2,-2
Massachusetts School of Law,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,0,0,1
Massage Institute of Memphis,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,10,0,-2,-2,-2,-2
Massage Therapy Institute of Colorado,1,1,-2,M,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,-2,-2,-2,-2
Massasoit Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,57,42,14,1,0,0,0,0
Master's Barber & Styling College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,45,6,0,-2,-2,-2,-2
Mauna Loa Helicopters,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,2,0,-2,-2,-2,-2
Mayfield College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,46,45,24,1,0,0,0,0
Mayland Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,84,80,13,1,0,0,0,0
Merrimack College,1,1,-2,A,1,1,1,3894,5033,8927,4834,6100,10934,517,569,1086,84,100,15,1,1,1,0,0
Mayo Clinic College of Medicine and Science,1,1,1,A,1,1,1,8,33,41,21,110,131,6,30,36,82,45,4,0,0,1,1,1
Maysville Community and Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,66,44,18,1,0,0,0,0
Mayville State University,1,1,-2,A,1,1,1,97,78,175,196,134,330,81,61,142,63,50,13,1,1,1,0,0
McCormick Theological Seminary,1,1,3,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,0
McDaniel College,1,1,-2,A,1,1,1,1440,1973,3413,1867,2340,4207,250,331,581,75,45,13,0,1,1,0,0
McDougle Technical  Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,47,100,23,0,-2,-2,-2,-2
McDowell Technical Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,48,40,8,1,0,0,0,0
McHenry County College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,69,44,23,1,0,0,0,0
MCI,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,87,45,15,0,-2,-2,-2,-2
McKendree University,1,1,-2,A,1,1,1,730,647,1377,1099,866,1965,216,158,374,76,45,14,1,1,1,1,0
Merritt College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,50,27,34,1,0,0,0,0
McLennan Community College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,58,44,14,1,0,0,0,0
McMurry University,1,1,-2,A,1,1,1,416,436,852,883,915,1798,138,89,227,65,50,11,0,1,1,0,0
McNeese State University,1,1,-2,A,1,1,1,887,1326,2213,1315,2181,3496,495,736,1231,72,46,21,1,1,1,0,1
McPherson College,1,1,-2,A,1,1,1,639,292,931,1362,423,1785,167,63,230,66,45,15,0,1,1,0,0
MCPHS University,1,1,-2,A,1,1,1,882,3499,4381,990,3818,4808,178,535,713,82,100,13,0,1,1,1,1
MCVSD,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,20,45,15,0,-2,-2,-2,-2
MDT College of Health Sciences,1,1,-2,A,1,1,1,2,39,41,3,54,57,0,17,17,50,67,14,0,-2,-2,-2,-2
Meadville Lombard Theological School,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,0
Mech-Tech College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,71,45,30,1,0,0,0,0
Mechon L'hoyroa,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,8,0,1,0,0,0
Med Academy,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,75,45,19,1,0,0,0,0
Medaille College,1,1,-2,A,1,1,1,300,655,955,412,918,1330,108,283,391,55,45,14,1,1,1,0,1
MediaTech Institute-Dallas,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,34,45,20,1,0,0,0,0
MediaTech Institute-Houston,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,29,45,20,1,0,0,0,0
Medical Allied Career Center,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,15,0,1,0,0,0
Medical Career & Technical College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,91,45,15,0,-2,-2,-2,-2
Medical Career College of Northern California,1,1,-2,A,1,1,1,4,3,7,5,5,10,2,2,4,60,45,3,0,-2,-2,-2,-2
Medical Career Institute,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,100,45,12,0,0,0,0,0
Medical College of Wisconsin,1,1,4,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,1
Medical Institute of Palm Beach,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,85,45,8,0,-2,-2,-2,-2
Medical Training College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,68,45,33,0,-2,-2,-2,-2
Medical University of South Carolina,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,6,0,1,1,1,1
Medina County Career Center,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,89,45,5,0,-2,-2,-2,-2
MedQuest College,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,96,45,11,1,0,0,0,0
Medspa Academies,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,97,45,11,0,-2,-2,-2,-2
Medspa Academies - NIMA National Institute of Modern Aesthetics,1,3,-1,G,1,3,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
