institution,publicflag,postsecondaryflag,yearsofcollegerequired,inststatus,postsecondaryprimary,activeflag,titleiveligible,admissionsmen,admissionswomen,admissionstotal,applicantsmen,applicantswomen,applicantstotal,enrolledmen,enrolledwomen,enrolledtotal,retentionrate_fulltime,retentionrate_parttime,studenttofacultyratio,associatesflag,bachelorsflag,mastersflag,phdresearchflag,phdproflag
The Beauty School,1,1,-1,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,,-1,-1,-1,-1
The Catholic University of America,1,1,-2,A,1,1,1,2031,3115,5146,2589,3669,6258,251,379,630,86,50,11,1,1,1,1,1
The Chicago School of Professional Psychology at Anaheim,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,1
The Chicago School of Professional Psychology at Chicago,1,1,2,A,1,1,1,0,0,0,10,29,39,814,17,1515,82,45,4,0,1,1,1,1
The Chicago School of Professional Psychology at Los Angeles,1,1,2,A,1,1,1,4,27,31,35,92,127,2,16,18,82,45,9,0,1,1,1,1
The Chicago School of Professional Psychology at San Diego,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,0,1
The Chicago School of Professional Psychology at Washington DC,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,1,1,1
The Chicago School of Professional Psychology at Xavier University of Louisiana,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,0,0,0,1
The Christ College of Nursing and Health Sciences,1,1,-2,A,1,1,1,17,243,260,22,345,367,5,97,102,78,71,15,1,1,0,0,0
The Chrysm Institute of Esthetics,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,20,0,-2,-2,-2,-2
The Collective School Of Music,1,1,-2,A,1,1,5,589,-347,3247,2466,-1958,4481,814,17,1515,82,45,11,0,-2,-2,-2,-2
The College of Health Care Professions-Austin,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,66,45,19,1,0,0,0,0
The College of Health Care Professions-Dallas,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,62,45,23,1,0,0,0,0
The College of Health Care Professions-Fort Worth,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,73,45,21,1,0,0,0,0
The College of Health Care Professions-McAllen Campus,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,84,45,24,1,0,0,0,0
The College of Health Care Professions-Northwest,1,1,2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,74,45,20,1,1,0,0,0
The College of Health Care Professions-San Antonio,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,64,45,20,1,0,0,0,0
The College of Health Care Professions-South San Antonio,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,79,45,22,1,0,0,0,0
The College of Health Care Professions-Southwest Houston,1,1,-2,A,1,1,1,589,-347,3247,2466,-1958,4481,814,17,1515,83,45,24,1,0,0,0,0
