institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
Platt College-STVT-Corpus Christi,White,Asian,White
Platt College-STVT-McAllen,White,Asian,White
Platt College-STVT-San Antonio,White,Asian,White
Plaza College,Hispanic,Asian,White
Plymouth State University,White,White,White
PMCA Pittsburgh Multicultural Cosmetology Academy,White,Asian,White
Point Loma Nazarene University,White,White,White
Point Park University,White,White,White
Point University,White,White,White
Polaris Career Center,White,Asian,White
Polk State College,White,Asian,White
Polytech Adult Education,White,Asian,White
Polytechnic University of Puerto Rico-Miami,Hispanic,Hispanic,White
Polytechnic University of Puerto Rico-Orlando,Hispanic,Hispanic,White
Pomeroy College of Nursing at Crouse Hospital,White,Asian,White
Pomona College,White,Asian,White
Pomona Unified School District Adult and Career Education,White,Asian,White
Ponca City Beauty College,White,Asian,White
Ponce Health Sciences University,White,Hispanic,Hispanic
Ponce Health Sciences University-Centro Universitario de San Juan,White,Hispanic,White
Ponce Health Sciences University-East,Hispanic,Hispanic,Hispanic
Ponce Health Sciences University-St Louis,White,White,White
Pontifical Catholic University of Puerto Rico-Arecibo,Hispanic,Hispanic,Hispanic
Pontifical Catholic University of Puerto Rico-Mayaguez,Hispanic,Hispanic,White
Pontifical Catholic University of Puerto Rico-Ponce,Hispanic,Hispanic,Hispanic
Pontifical College Josephinum,White,White,White
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,White,White,White
Pontifical John Paul II Institute for Studies on Marriage and Family,White,White,White
Pontotoc Technology Center,White,Asian,White
Pope St John XXIII National Seminary,White,White,White
Poplar Bluff Technical Career Center,White,Asian,White
Port Huron Cosmetology College,White,Asian,White
Portage Lakes Career Center,White,Asian,White
Porter and Chester Institute - Brockton,White,Asian,White
Porter and Chester Institute of Hamden,White,Asian,White
Porter and Chester Institute of Stratford,White,Asian,White
Porterville College,White,Asian,White
Portland Actors Conservatory,White,Asian,White
Portland Community College,White,Asian,White
Portland State University,White,White,White
Post University,White,White,White
Potomac State College of West Virginia University,White,Asian,White
Poway Adult School,White,Asian,White
PPG Technical College,White,Asian,White
Prairie State College,White,Asian,White
Principia College,White,Asian,White
Prairie View A & M University,Black,Black,Black
Pratt Community College,White,Asian,White
Pratt Institute-Main,White,White,White
Praxis Institute,White,Asian,White
Precision Manufacturing Institute,White,Asian,White
Quest College,White,Asian,White
Premier Academy of Cosmetology,White,Asian,White
Premier Barber Institute,White,Asian,White
Premiere Aesthetics Institute,White,Asian,White
Premiere Career College,White,Asian,White
Premiere International College,White,Asian,White
Presbyterian College,White,Asian,White
Presbyterian Theological Seminary in America,Asian,Asian,White
Prescott College,White,White,White
Presentation College,White,White,White
Presidio Graduate School,White,White,White
Prestige Health & Beauty Sciences Academy,White,Asian,White
Prince George's Community College,White,Asian,White
Princess Beauty School,White,Asian,White
Princess Institute of Beauty,White,Asian,White
Princeton Theological Seminary,White,White,White
Princeton University,White,White,White
Prism Career Institute-Cherry Hill,White,Asian,White
Prism Career Institute-Philadelphia,White,Asian,White
Prism Career Institute-West Atlantic City,White,Asian,White
Pro Beauty Academy,White,Asian,White
Pro Way Hair School,White,Asian,White
Quincy College,White,Asian,White
Professional Academy of Cosmetology,White,Asian,White
Professional Cosmetology Education Center,White,Asian,White
Professional Culinary Academy,White,Asian,White
Professional Golfers Career College,White,Asian,White
Professional Institute of Beauty,White,Asian,White
Professional Skills Institute,White,Asian,White
Professional Technical Institution,White,Asian,White
Professional's Choice Hair Design Academy,White,Asian,White
Profile Institute of Barber-Styling,White,Asian,White
Protege Academy,White,Asian,White
Protege Academy,White,Asian,White
Protege Academy,White,Asian,White
Protege Academy,White,Asian,White
Protege Academy,White,Asian,White
Protege Academy,White,Asian,White
Protege Academy,White,Asian,White
Protege Academy,White,Asian,White
Providence Christian College,White,Asian,White
Providence College,White,White,White
Provo College,White,Asian,White
Provo College-Idaho Falls Campus,Asian,Asian,White
Pueblo Community College,White,Asian,White
Quincy University,White,White,White
Puerto Rico School of Nurse Anesthetists,White,Hispanic,White
Purdue University Fort Wayne,White,White,White
Purdue University Global,White,White,White
Purdue University Northwest,White,White,White
Purdue University-Main Campus,White,White,White
Pure Aesthetics Natural Skincare School,White,Asian,White
Putnam Career and Technical Center,White,Asian,White
Quality Technical and Beauty College,White,Asian,White
Queen City College,White,Asian,White
Queens University of Charlotte,White,White,White
Quinebaug Valley Community College,White,Asian,White
Quinnipiac University,White,White,White
Quinsigamond Community College,White,Asian,White
Rabbi Jacob Joseph School,White,Asian,White
Rabbinical Academy Mesivta Rabbi Chaim Berlin,White,White,White
Rabbinical College Beth Shraga,Asian,Asian,White
Rabbinical College Bobover Yeshiva Bnei Zion,White,White,White
Rabbinical College of America,White,White,White
Rabbinical College of Long Island,White,Asian,White
Rabbinical College of Ohr Shimon Yisroel,White,Asian,White
Rabbinical College Ohr Yisroel,White,Asian,White
Rabbinical College Telshe,White,White,White
Rabbinical Seminary Mkor Chaim,Asian,Asian,White
Rabbinical Seminary of America,White,White,White
Radford M Locklin Technical College,White,Asian,White
Radford University,White,White,Asian
Radford University-Carilion,White,Asian,White
Rainy River Community College,White,Asian,White
Ralph R Willis Career and Technical Center,White,Asian,White
Ramapo College of New Jersey,White,White,White
Rancho Santiago Community College District Office,White,Asian,White
Randall University,White,White,White
Randolph College,White,White,White
Randolph Community College,White,Asian,White
Randolph Technical Center,White,Asian,White
Randolph-Macon College,White,Asian,White
Ranger College,White,Asian,White
Ranken Technical College,White,Asian,White
Raphael's School of Beauty Culture Inc-Alliance,White,Asian,White
Raphael's School of Beauty Culture Inc-Boardman,White,Asian,White
Raphael's School of Beauty Culture Inc-Brunswick,White,Asian,White
Raphael's School of Beauty Culture Inc-Niles,White,Asian,White
Rappahannock Community College,White,Asian,White
Raritan Valley Community College,White,Asian,White
Rasmussen University-Florida,White,White,White
Rasmussen University-Illinois,White,Black,White
Rasmussen University-Kansas,White,White,White
Rasmussen University-Minnesota,White,White,White
Rasmussen University-North Dakota,White,White,White
Rasmussen University-Wisconsin,White,White,White
Ravenscroft Beauty College,White,Asian,White
Ray J's College of Hair,White,Asian,White
Reading Area Community College,White,Asian,White
Reading Hospital School of Health Sciences,White,Asian,White
Reconstructionist Rabbinical College,White,White,White
Red Lake Nation College,White,Asian,White
Red River Technology Center,White,Asian,White
Red Rocks Community College,White,White,White
Redlands Community College,White,Asian,White
Redondo Beach Beauty College,White,Asian,White
Reed College,White,White,White
Reedley College,White,Asian,White
Reflections Academy of Beauty,White,Asian,White
Reformed Presbyterian Theological Seminary,White,Asian,White
Reformed University,Asian,Asian,White
Refrigeration School Inc,White,Asian,White
Regan Career Institute,White,Asian,White
Regent University,White,White,White
Regina Webb Academy,White,Asian,White
Regional Center for Border Health,White,Asian,White
Regis College,White,White,White
Regis University,White,White,White
Reid State Technical College,White,Asian,White
Reinhardt University,White,White,White
Reiss-Davis Graduate School,White,Asian,Asian
Relay Graduate School of Education,White,Black,White
Remington College-Baton Rouge Campus,White,Asian,White
Remington College-Cleveland Campus,White,Asian,White
Remington College-Columbia Campus,White,Asian,White
Remington College-Dallas Campus,Hispanic,Asian,White
Remington College-Fort Worth Campus,Black,Asian,White
Remington College-Heathrow Campus,UnknownEthnicity,Asian,White
Remington College-Houston Southeast Campus,White,Asian,White
Remington College-Lafayette Campus,White,Asian,White
Remington College-Little Rock Campus,White,Asian,White
Remington College-Memphis Campus,Black,Asian,White
Remington College-Mobile Campus,Asian,Asian,White
Remington College-Nashville Campus,White,Asian,White
Remington College-North Houston Campus,Asian,Asian,White
Remington College-Shreveport Campus,Black,Asian,White
Renaissance Academie,White,Asian,White
Rend Lake College,White,Asian,White
Rensselaer at Hartford,White,White,White
Rensselaer Polytechnic Institute,White,White,White
Renton Technical College,White,Asian,White
Research College of Nursing,White,White,White
Resurrection University,Hispanic,White,White
Rexburg College of Massage Therapy,White,Asian,White
Rhode Island College,White,White,UnknownEthnicity
Ridgewater College,White,Asian,White
Rhode Island School of Design,White,White,White
Rhodes College,White,White,White
Ricci's Academy of Cosmetology,White,Asian,White
Rice University,White,White,White
Richard Bland College,White,Asian,White
Richland College,White,Asian,White
Richland Community College,White,Asian,White
Richmond Community College,White,Asian,White
Richmont Graduate University,White,White,White
Richport Technical College,White,Asian,White
Rider University,White,White,Asian
Ridge Technical College,White,Asian,White
Ringling College of Art and Design,White,Asian,White
Rio Grande Valley College,White,Asian,White
Rio Hondo College,Asian,Asian,White
Rio Salado College,White,Asian,White
Ripon College,White,Asian,White
River Parishes Community College,White,Asian,White
River Valley Community College,White,Asian,White
River Valley Cosmetology Institute,White,Asian,White
River Valley School of Massage,White,Asian,White
Riverland Community College,White,Asian,White
Riveroak Technical College,White,Asian,White
Riverside City College,White,Asian,White
Riverside College of Health Careers,Asian,Asian,White
Riverside County Office of Education-School of Career Education,White,Asian,White
Rivertown School of Beauty Barber Skin Care and Nails,White,Asian,White
Rivier University,White,White,White
Rizzieri Aveda School for Beauty and Wellness,White,Asian,White
Roane State Community College,White,Asian,White
Roane-Jackson Technical Center,White,Asian,White
Roanoke College,White,Asian,White
Roanoke-Chowan Community College,White,Asian,White
Rob Roy Academy-Fall River,White,Asian,White
Rob Roy Academy-New Bedford,White,Asian,White
Rob Roy Academy-Taunton,White,Asian,White
Rob Roy Academy-Worcester,White,Asian,White
Robert Fiance Beauty Schools,White,Asian,White
Rockhurst University,White,White,White
Robert Fiance Beauty Schools-North Plainfield,White,Asian,White
Robert Fiance Beauty Schools-West New York,White,Asian,White
Robert Morgan Educational Center and Technical College,White,Asian,White
Robert Morris University,White,White,White
