institution,predominantdemo_bachelors,predominantdemo_masters,predominantdemo_phd
Aviator College of Aeronautical Science and Technology,White,Asian,White
Avila University,White,White,White
Award Beauty School,White,Asian,White
Azusa Pacific University,White,White,White
B M Spurr School of Practical Nursing,White,Asian,White
B-Unique Beauty and Barber Academy,White,Asian,White
Babson College,White,White,White
Bacone College,NativeAmerican,Asian,White
Bais Binyomin Academy,Asian,Asian,White
Bais HaMedrash and Mesivta of Baltimore,White,Asian,White
Bais Medrash Elyon,White,Asian,White
Bais Medrash Mayan Hatorah,White,Asian,White
Bais Medrash of Dexter Park,White,Asian,White
Bais Medrash Toras Chesed,White,Asian,White
Baker College,White,White,White
Baker University,White,White,White
Bakersfield College,Hispanic,Asian,White
Bakke Graduate University,White,Asian,White
Baldwin Beauty School-North Austin,White,Asian,White
Baldwin Beauty School-South Austin,White,Asian,White
Baldwin Park Adult & Community Education,White,Asian,White
Baldwin Wallace University,White,White,White
Baldy View Regional Occupational Program,White,Asian,White
Ball State University,White,White,White
Baltimore City Community College,White,Asian,White
Baltimore Studio of Hair Design,White,Asian,White
Bancroft School of Massage Therapy,White,Asian,White
Bank Street College of Education,White,White,White
Baptist Bible College,White,White,White
Baptist Health College Little Rock,White,Asian,White
Baptist Health Sciences University,White,Asian,White
Baptist Health System School of Health Professions,Hispanic,White,White
Baptist Missionary Association Theological Seminary,White,White,White
Baptist University of the Americas,Hispanic,Asian,White
Barber & Beauty Institute of New York,White,Asian,White
Barber Institute of Texas,White,Asian,White
Barber School of Pittsburgh,White,Asian,White
Barber Tech Academy,White,Asian,White
Barclay College,White,White,White
Bard College,White,UnknownEthnicity,White
Bard College at Simon's Rock,White,Asian,White
Barnard College,White,Asian,White
Barnes-Jewish College Goldfarb School of Nursing,White,White,Asian
Barrett and Company School of Hair Design,White,Asian,White
Barry University,Hispanic,Hispanic,Black
Barstow Community College,White,Asian,White
Barton College,White,White,White
Barton County Community College,White,Asian,White
Bastyr University,White,White,White
Bates College,White,Asian,White
Bates Technical College,White,Asian,White
Baton Rouge Community College,White,Asian,White
Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,White,Asian,White
Baton Rouge School of Computers,White,Asian,White
Bay Area Medical Academy,White,Asian,White
Bay de Noc Community College,White,Asian,White
Bay Mills Community College,NativeAmerican,Asian,White
Bay Path University,White,White,White
Bay State College,White,Asian,White
Bayamon Community College,White,Asian,White
Baylor College of Medicine,White,White,White
Baylor University,White,White,White
Belmont College,White,Asian,White
Bayshire Academy of Beauty Craft Inc,White,Asian,White
Be'er Yaakov Talmudic Seminary,White,Asian,White
Beacon College,White,Asian,White
Beal University,Asian,Asian,White
Beau Monde Academy of Cosmetology and Barbering,White,Asian,White
Belmont University,White,White,White
Beaufort County Community College,White,Asian,White
Beaumont Adult School,White,Asian,White
Beauty Academy of South Florida,White,Asian,White
Beauty Technical College Inc,White,Asian,White
Beaver Falls Beauty Academy,White,Asian,White
Becker College,White,White,White
Beckfield College-Florence,White,Asian,White
Beis Medrash Heichal Dovid,White,Asian,Asian
Bel-Rea Institute of Animal Technology,White,Asian,White
Belanger School of Nursing,White,Asian,White
Belhaven University,White,Black,Black
Bell Mar Beauty College,White,Asian,White
Bella Academy of Cosmetology,White,Asian,White
Bella Capelli Academy,White,Asian,White
Bella Cosmetology and Barber College,White,Asian,White
Bellarmine University,White,White,Black
Bellasa Professional Institute,White,Asian,White
Belle Academy of Cosmetology LLC,White,Asian,White
Bellevue College,White,Asian,White
Bellevue University,White,White,White
Bellin College,White,White,Asian
Beloit College,White,Asian,White
Bellingham Technical College,White,Asian,White
Bellus Academy,White,Asian,White
Bellus Academy-Chula Vista,White,Asian,White
Bellus Academy-El Cajon,White,Asian,White
Bellus Academy-Poway,White,Asian,White
Belmont Abbey College,White,Asian,White
Bemidji State University,White,White,White
Ben Franklin Career Center,White,Asian,White
